SECURITIES;ERROR CODE;NUM FLDS;ID_ISIN;CRNCY;PX_CLOSE_DT;PX_LAST;AMT_OUTSTANDING;SP_EFF_DT;RTG_SP;RTG_SP_LT_LC_ISS_CRED_RTG_DT;RTG_SP_LT_LC_ISSUER_CREDIT;FITCH_EFF_DT;RTG_FITCH_LT_ISSUER_DFLT_RTG_DT;RTG_FITCH;RTG_FITCH_LT_ISSUER_DEFAULT;RTG_FITCH_SEN_UNSEC_RTG_DT;RTG_FITCH_SEN_UNSECURED;MOODY_EFF_DT;RTG_MOODY_LONG_TERM_DATE;RTG_MOODY;RTG_MOODY_LONG_TERM;RTG_MDY_ISSUER_RTG_DT;RTG_MDY_ISSUER;RTG_MDY_SEN_UNSECURED_DEBT;PX_BID;PX_ASK;PREV_CPN_DT;MTG_FACTOR_SET_DT;DAYS_ACC;DUR_ADJ_ASK;DUR_ADJ_BID;DUR_ADJ_MID;OAS_SPREAD_MID;OAS_SPREAD_BID;OAS_SPREAD_ASK;MTG_LIFE_FLOOR;MTG_LIFE_CAP;DEFAULT_PERCENT;MTG_WACPN;NXT_CPN_DT;CPN;PX_YEST_CLOSE;YLD_YTM_MID;PX_YEST_DT;HIGH_52WEEK;HIGH_DT_52WEEK;LOW_52WEEK;LOW_DT_52WEEK;CV_START_DT;CV_CNVS_PX;YLD_YTM_BID;YLD_YTM_ASK;PREVIOUS_TOTAL_VOLUME;CUR_MKT_CAP;PX_VOLUME;TURNOVER;VOLATILITY_30D;VOLATILITY_90D;VOLATILITY_360D;EQY_FLOAT;EQY_SH_OUT;REL_INDEX;ROBECOSAM_TOTAL_STBLY_RANK;ENVIRONMENTAL_SCORE;SOCIAL_SCORE;GOVERNANCE_SCORE;EARN_YLD_HIST;BDVD_NEXT_EST_EX_DT;BDVD_PROJ_DIV_AMT;DVD_SH_LAST;FUND_TOTAL_ASSETS;FUND_CLASS_ASSETS
!!002ZS0   Mtge;0;51;ES0338540000;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;78;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;2.0900  ; ;0.319000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!005JLV   Mtge;0;51;ES0314019011;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;51;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;0.6900  ; ;0.248000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!008P8F   Mtge;0;51;ES0338541016;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;142;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;1.2800  ; ;0.299000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!0094RK   Mtge;0;51;XS0159861078;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;22/12/2017;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;83;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;1.3185  ; ;0.000000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00A6N4   Mtge;0;51;ES0338448014;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;03/10/2017;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;76;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;1.3800  ; ;0.221000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00BDGZ   Mtge;0;51;ES0338222013;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;79;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;1.1100  ; ;0.109000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00BMG3   Mtge;0;51;ES0312369012;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;79;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;3.7300  ; ;0.322000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00DAFL   Mtge;0;51;IT0003575070;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;15/06/2022;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;83;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;1.1522  ; ;0.498000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00DFWA   Mtge;0;51;XS0182690742;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;7;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;6.7500  ; ;0.733000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00FM9X   Mtge;0;51;ES0347861017;EUR; ;N.A.;17300000.00  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;22/12/2022;1.000000000  ;76;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;0;1.5300  ;22/03/2023;2.481000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00FTY9   Mtge;0;51;XS0197194565;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;03/06/2013;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;7;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;5.8600  ; ;2.010000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00HJSY   Mtge;0;51;ES0310110020;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;23/01/2015;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;44;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;2.0600  ; ;0.381000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00K0YS   Mtge;0;51;ES0347862007;EUR; ;N.A.;76554124.90  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;22/12/2022;0.079660900  ;76;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;0;2.1800  ;22/03/2023;2.221000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00KCJS   Mtge;0;51;ES0312380001;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;51;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;4.3000  ; ;0.423000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00P9JK   Mtge;0;51;FR0010302802;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;22/03/2021;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;14;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;2.9700  ; ;6.952000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00PZ7C   Mtge;0;51;ES0333763011;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;20/01/2015;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;47;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;8.1268  ; ;0.221000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00QWGX   Mtge;0;51;ES0347854004;EUR; ;N.A.;97825209.20  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;22/12/2022;0.110412200  ;76;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;0;2.0200  ;22/03/2023;2.221000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00R0IE   Mtge;0;51;IT0004068851;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;9;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;10.7500  ; ;0.667000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00T50W Mtge;0;51;XS0268644886;EUR; ;N.A.;20458639.60  ;N.A.;N.A.;N.A.;N.A.;20/02/2018;N.A.;CC;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;16/01/2023;0.730665700  ;51;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;0;0.0900  ;17/04/2023;3.248000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00U5P3   Mtge;0;51;ES0372260028;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;15/03/2019;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;83;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;1.1200  ; ;0.000000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00UBVR   Mtge;0;51;XS0274874832;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;13/01/2015;N.A.;WD;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ; ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;0.000000  ;N.A.; ;0.600000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00UEPB   Mtge;0;51;ES0313956023;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;20/03/2015;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;78;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;7.5800  ; ;0.339000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00UES8   Mtge;0;51;ES0374352021;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;26/02/2016;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;42;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;4.2800  ; ;0.154000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00UI55   Mtge;0;51;ES0347844070;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;77;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;3.2800  ; ;0.417000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00USYR   Mtge;0;51;IT0004158124;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;18/10/2017;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;44;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;5.2000  ; ;0.000000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00UT6W   Mtge;0;51;ES0338058037;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;22/05/2017;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;16;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;0.5500  ; ;0.000000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00UT6X   Mtge;0;51;ES0338058045;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;20/05/2019;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;16;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;0.5500  ; ;0.242000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00UT6Y   Mtge;0;51;ES0338058052;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;20/05/2019;N.A.;PIF;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;16;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;0.5500  ; ;1.792000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00VD5V   Mtge;0;51;XS0284845343;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;78;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;N.A.; ;0.629000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00Y0N6   Mtge;0;51;IT0004232598;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;9;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;10.7100  ; ;0.046000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
!!00Y0N7   Mtge;0;51;IT0004232614;EUR; ;N.A.;0.00  ;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.; ;0.000000000  ;9;N.A.;N.A.;N.A.;N.A.;N.A.;N.A.;0.000  ; ;N.A.;10.7100  ; ;0.296000  ;N.A.;N.A.;N.A.; ; ; ; ; ; ;N.A.;N.A.;N.A.;;;;;;;;;;;;;;;;;;;
